MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,1.00,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63370525,62766512,44013583,2671,3960658,3526145,7921316,18202925,1924,617,5759419,11555357,23212472,"[]","[]",434513,508,E
0.20,0.86,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,89656978,88960357,39473869,429,5603561,5071744,11207122,23019935,1728,564,6184624,9495692,19393373,"[]","[]",531817,385,E
0.20,0.93,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,72297756,71890909,41614148,1210,4518610,4277444,9037220,20953325,1743,513,4417057,8449380,21895466,"[]","[]",241166,351,E
0.20,0.94,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,65087626,64302701,41287333,476,4067977,3613002,8135953,16026649,1889,605,7519274,10664111,23971951,"[]","[]",454975,551,E
0.20,0.87,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,81206379,80760194,34262179,1792,5075399,4730520,10150797,16901555,1728,560,5493094,9391238,18909455,"[]","[]",344878,392,E
0.20,0.98,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,54477405,53708266,79763017,2811,3404838,2819120,6809676,33375278,1955,584,6411754,12298052,42251409,"[]","[]",585718,295,E
0.20,0.91,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,64354484,63847004,44353176,7572,4022155,3655119,8044311,18879462,1766,571,4917642,9829912,24555056,"[]","[]",367036,379,E
0.20,0.96,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,54212458,53503541,49486651,592,3388279,2684404,6776557,17651259,1901,632,6269594,10641026,29383123,"[]","[]",703875,346,E
0.20,0.95,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,57833853,57242479,41191996,6158,3614616,3161929,7229232,16836812,1843,583,6000497,9691652,22930667,"[]","[]",452687,336,E
0.20,0.00,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63897517,63897517,0,0,3993595,3993595,7987190,7987190,0,0,0,0,0,"[]","[]",0,1,A
0.20,0.01,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,59040473,59031261,3207550,280,3690030,3681580,7380059,7656511,28,15,154404,130007,2818473,"[]","[]",8450,66,E
0.20,0.25,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63458085,63364634,10889462,298,3966130,3928272,7932261,9929558,470,140,1691684,2478333,6544843,"[]","[]",37858,175,E
0.20,0.02,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,51249330,51240345,281127,0,3203083,3197157,6406166,6525665,43,14,41608,82419,94120,"[]","[]",5926,29,A
0.20,0.12,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,59399137,59323927,4303114,0,3712446,3640996,7424892,8298080,231,78,686489,1183556,2393030,"[]","[]",71450,90,A
0.20,0.68,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,58262260,57864896,28983057,594,3641391,3343539,7282782,14840906,1303,408,3312899,7154346,14965211,"[]","[]",297853,262,E
0.20,0.03,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,77635385,77531827,857067,27,4852212,4790146,9704423,9699177,74,36,411810,549300,478610,"[]","[]",62066,73,E
0.20,0.62,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,75383908,74970096,25917238,560,4711494,4378515,9422989,15672515,1213,386,4005298,6858151,13555791,"[]","[]",332980,335,E
0.20,0.18,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63304758,63158818,6930734,217,3956547,3841616,7913095,8065538,368,115,1285121,2339048,4699898,"[]","[]",114932,104,E
